Commodity,Unit,Min Price,Max Price,Avg Price,Date
गोलभेडा ठूलो(भारतीय),केजी,रू ८०.००,रू ९०.००,रू ८५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २३, २०८१"
गोलभेडा सानो(लोकल),के.जी.,रू ३५.००,रू ४५.००,रू ४०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २३, २०८१"
गोलभेडा सानो(टनेल),के जी,रू ५५.००,रू ७५.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २३, २०८१"
गोलभेडा सानो(भारतीय),के जी,रू ४०.००,रू ४४.००,रू ४२.३३,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २३, २०८१"
आलु रातो,के.जी.,रू ८०.००,रू ८५.००,रू ८३.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २३, २०८१"
आलु रातो(भारतीय),के जी,रू ६२.००,रू ६५.००,रू ६३.३३,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २३, २०८१"
आलु सेतो,के.जी.,रू ६०.००,रू ६५.००,रू ६२.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २३, २०८१"
प्याज सुकेको (भारतीय),के.जी.,रू १२०.००,रू १२५.००,रू १२२.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २३, २०८१"
गाजर(लोकल),के.जी.,रू १२०.००,रू १३०.००,रू १२५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २३, २०८१"
गाजर(तराई),केजी,रू ७०.००,रू ९०.००,रू ८०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २३, २०८१"
बन्दा(लोकल),के.जी.,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २३, २०८१"
बन्दा(तराई),केजी,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २३, २०८१"
काउली स्थानिय,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २३, २०८१"
मूला रातो,के.जी.,रू २५.००,रू ३०.००,रू २७.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २३, २०८१"
मूला सेतो(लोकल),के.जी.,रू १०.००,रू २०.००,रू १५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २३, २०८१"
